학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,X,Y
B000005845,목면초등학교,초등학교,1935-03-01,공립,본교,운영,충청남도 청양군 목면 안심리 355,충청남도 청양군 목면 철마장길 27,8140000,충청남도교육청,8251000,충청남도청양교육지원청,2013-11-29,2024-11-08,36.42099505,127.004266,2025-03-21,200382.58354514785,424759.49516728567
B000006255,구이초등학교,초등학교,1928-06-15,공립,본교,운영,전북특별자치도 완주군 구이면 항가리 86-1,전북특별자치도 완주군 구이면 구이로 1357,8321000,전북특별자치도교육청,8392000,전북특별자치도완주교육지원청,2013-11-29,2024-11-08,35.72078834,127.1193488,2025-03-21,210798.7346003314,347070.89271470613
B000009018,대전도안중학교,중학교,2012-03-02,공립,본교,운영,대전광역시 서구 도안동 1367,대전광역시 서구 원도안로 160,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2024-11-08,36.31772432,127.3453779,2025-03-21,231015.21052143408,413355.32592694415
B000008147,창천중학교,중학교,2009-03-01,공립,본교,운영,서울특별시 마포구 노고산동 33-1,서울특별시 마포구 백범로1길 56,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-11-08,37.55498958,126.9390499,2025-03-21,194614.41487795374,550609.0285057845
B000007376,관호초등학교,초등학교,1973-03-02,공립,본교,운영,경상북도 칠곡군 약목면 무림리 730,경상북도 칠곡군 약목면 무림3길 16-59,8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2024-11-08,36.02062161,128.3811808,2025-03-21,324503.6769832666,381215.40615528065
B000003830,부천양지초등학교,초등학교,2006-03-01,공립,본교,운영,경기도 부천시 소사구 괴안동 42-17,경기도 부천시 소사구 안곡로 130,7530000,경기도교육청,7581000,경기도부천교육지원청,2013-11-29,2024-11-08,37.4806795,126.8158129,2025-03-21,183708.9710751439,542375.7354930238
B000023267,천상고등학교,고등학교,2017-03-01,공립,본교,운영,울산광역시 울주군 범서읍 천상리 566-14,울산광역시 울주군 범서읍 당앞로 96,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2013-11-29,2024-11-08,35.56562789,129.2214624,2025-03-21,401404.3188468588,332120.50920786336
B000006155,정읍서초등학교,초등학교,1945-11-03,공립,본교,운영,전북특별자치도 정읍시 연지동 259-3,전북특별자치도 정읍시 명륜길 32,8321000,전북특별자치도교육청,8362000,전북특별자치도정읍교육지원청,2013-11-29,2024-11-08,35.56976406,126.8467623,2025-03-21,186108.86306493203,330318.6196118923
B000001953,서울영일초등학교,초등학교,1967-11-29,공립,본교,운영,서울특별시 구로구 가리봉동 17,서울특별시 구로구 남부순환로105길 218,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-11-08,37.48519096,126.8837685,2025-03-21,189720.14671299208,542866.8594881027
B000001886,서울갈현초등학교,초등학교,1967-03-13,공립,본교,운영,서울특별시 은평구 갈현동 451-15,서울특별시 은평구 연서로29길 31,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-11-08,37.61925867,126.9167089,2025-03-21,192646.67628283243,557743.6863853242
