학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자,X,Y
Z000102520,B000004169,석우초등학교,초등학교,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2023-03-22,206033.59234134512,512213.8221403924
Z000100332,B000002236,서울내발산초등학교,초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2023-03-22,185670.1849583217,550241.5370010644
Z000100953,B000002812,대구비봉초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2023-03-22,341637.0824930258,366198.1314552487
Z000106134,B000024938,신명초등학교,초등학교,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2023-03-22,394629.7602864888,312284.5515214044
Z000106134,B000024938,신명초등학교,초등학교,7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2023-03-22,375146.9980353541,279323.43167711905
Z000101581,B000003422,대전변동초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2023-03-22,234560.59457464813,414145.7280059306
Z000100272,B000002174,서울대명초등학교,초등학교,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2023-03-22,213546.1838204409,549749.8223024175
Z000105502,B000007449,석전초등학교,초등학교,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2023-03-22,343527.3224555199,294012.7746864596
Z000150549,B000007449,석전초등학교,초등학교,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2023-03-22,343527.3224555199,294012.7746864596
Z000150550,B000007449,석전초등학교,초등학교,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2023-03-22,343527.3224555199,294012.7746864596
Z000150984,B000023989,솔샘초등학교,초등학교,7800000,강원도교육청,7821000,강원도원주교육지원청,2023-03-22,282370.27567964944,526042.0202901842
Z000103057,B000023989,솔샘초등학교,초등학교,7800000,강원도교육청,7821000,강원도원주교육지원청,2023-03-22,282370.27567964944,526042.0202901842
Z000100595,B000002471,옥천초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,367690.64810575725,574685.380981642
Z000100595,B000002471,옥천초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,167901.65357719868,219213.85541086888
Z000100595,B000002471,옥천초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,240595.6069302279,546773.9026189055
Z000100595,B000002471,옥천초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,213242.67988815816,308448.6113803755
Z000100595,B000002471,옥천초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2023-03-22,381811.8924804792,279259.21370959905
