학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자,X,Y
Z000102036,B000003824,소안초등학교,초등학교,7530000,경기도교육청,7581000,경기도부천교육지원청,2023-03-22,168093.20289741195,175309.91045988124
Z000102036,B000003824,소안초등학교,초등학교,7530000,경기도교육청,7581000,경기도부천교육지원청,2023-03-22,182677.0558766435,541456.2520287321
Z000151302,B000003824,소안초등학교,초등학교,7530000,경기도교육청,7581000,경기도부천교육지원청,2023-03-22,168093.20289741195,175309.91045988124
Z000151302,B000003824,소안초등학교,초등학교,7530000,경기도교육청,7581000,경기도부천교육지원청,2023-03-22,182677.0558766435,541456.2520287321
Z000106041,B000008083,가파초등학교,초등학교,9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2023-03-22,131928.4136817656,64251.026114168
Z000103815,B000023977,탕정미래초등학교,초등학교,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2023-03-22,205694.744426602,466544.2063755442
Z000105884,B000007872,해양초등학교,초등학교,9010000,경상남도교육청,9171000,경상남도남해교육지원청,2023-03-22,281939.85227795824,249091.8431413617
Z000150994,B000007872,해양초등학교,초등학교,9010000,경상남도교육청,9171000,경상남도남해교육지원청,2023-03-22,281939.85227795824,249091.8431413617
Z000105694,B000007685,월산초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2023-03-22,195492.73407854463,304890.11404406483
Z000105694,B000007685,월산초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2023-03-22,364383.5038557556,290905.2383810116
